unique_id,num_photos,sensitivity,detection.x,detection_time,sec_in,x_distance,duration,velocity.y,y_dist,date
WP-4,2,2,1,2022-02-09T21:36:41Z,4,3,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:36:42Z,5,3,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:37:05Z,5,3,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:37:29Z,4,3,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:37:55Z,4,3,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:38:17Z,3,3,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:38:18Z,4,3,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:38:38Z,4,3,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:11Z,3,5,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:12Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:32Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:33Z,5,5,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:55Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:39:56Z,5,5,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:40:17Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:40:18Z,5,5,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:40:42Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:40:43Z,5,5,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:40:44Z,6,5,10,2,12,2022-02-09
WP-4,2,2,1,2022-02-09T21:41:06Z,4,5,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:41:07Z,5,5,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:41:08Z,6,5,10,2,12,2022-02-09
WP-4,2,2,1,2022-02-09T21:41:49Z,4,10,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:41:51Z,6,10,10,2,12,2022-02-09
WP-4,2,2,1,2022-02-09T21:42:12Z,4,10,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:42:14Z,6,10,10,2,12,2022-02-09
WP-4,2,2,1,2022-02-09T21:42:38Z,3,10,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:03Z,5,10,10,2,10,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:06Z,8,10,10,2,16,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:29Z,4,10,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:31Z,6,10,10,2,12,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:54Z,4,10,9,2.2222222222222223,8.88888888888889,2022-02-09
WP-4,2,2,1,2022-02-09T21:43:56Z,6,10,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-4,2,2,1,2022-02-09T21:44:36Z,3,12,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:45:11Z,3,12,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:45:36Z,3,12,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:45:59Z,3,12,10,2,6,2022-02-09
WP-4,2,2,1,2022-02-09T21:46:25Z,4,12,10,2,8,2022-02-09
WP-4,2,2,1,2022-02-09T21:46:52Z,3,12,10,2,6,2022-02-09
WP-1,2,1,1,2022-02-09T23:26:11Z,5,3,10,2,10,2022-02-09
WP-1,2,1,1,2022-02-09T23:28:22Z,4,3,10,2,8,2022-02-09
WP-1,2,1,1,2022-02-09T23:28:43Z,4,3,10,2,8,2022-02-09
WP-1,2,1,1,2022-02-09T23:29:28Z,5,3,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-1,2,1,1,2022-02-09T23:29:29Z,6,3,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-1,2,1,1,2022-02-09T23:29:48Z,4,3,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T21:49:57Z,5,3,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:00:20Z,4,3,11,1.8181818181818181,7.2727272727272725,2022-02-09
WP-7,2,4,1,2022-02-09T22:00:44Z,5,3,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:00:45Z,6,3,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:01:07Z,5,3,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:01:32Z,4,3,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:01:33Z,5,3,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:01:55Z,5,3,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:02:30Z,4,5,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:02:31Z,5,5,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:02:52Z,5,5,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:02:53Z,6,5,10,2,12,2022-02-09
WP-7,2,4,1,2022-02-09T22:03:14Z,5,5,9,2.2222222222222223,11.11111111111111,2022-02-09
WP-7,2,4,1,2022-02-09T22:03:15Z,6,5,9,2.2222222222222223,13.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:03:37Z,5,5,12,1.6666666666666667,8.333333333333334,2022-02-09
WP-7,2,4,1,2022-02-09T22:03:38Z,6,5,12,1.6666666666666667,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:03:39Z,7,5,12,1.6666666666666667,11.666666666666668,2022-02-09
WP-7,2,4,1,2022-02-09T22:04:03Z,6,5,12,1.6666666666666667,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:04:04Z,7,5,12,1.6666666666666667,11.666666666666668,2022-02-09
WP-7,2,4,1,2022-02-09T22:04:29Z,3,5,8,2.5,7.5,2022-02-09
WP-7,2,4,1,2022-02-09T22:04:30Z,4,5,8,2.5,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:11Z,3,10,7,2.857142857142857,8.571428571428571,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:13Z,5,10,7,2.857142857142857,14.285714285714286,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:14Z,6,10,7,2.857142857142857,17.142857142857142,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:44Z,4,10,10,2,8,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:45Z,5,10,10,2,10,2022-02-09
WP-7,2,4,1,2022-02-09T22:05:46Z,6,10,10,2,12,2022-02-09
