SourceFile,unique_id.x,brand,Transect distance,run_num,seconds,start_dec,DateTimeOriginal,two,three,four
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,1,10,0,2022:08:04 22:22:15,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,2,10,0,2022:08:04 22:22:30,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,3,10,0,2022:08:04 22:22:45,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,4,10,0,2022:08:04 22:23:00,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,5,10,0,2022:08:04 22:23:20,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,3,6,10,0,2022:08:04 22:23:40,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0063.JPG,PP-9,Reconyx,5,1,9,1,2022:08:04 22:23:58,2022:08:04 22:24:01,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0072.JPG,PP-9,Reconyx,5,2,10,1,2022:08:04 22:24:21,2022:08:04 22:24:26,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0078.JPG,PP-9,Reconyx,5,3,10,1,2022:08:04 22:24:45,2022:08:04 22:24:51,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0084.JPG,PP-9,Reconyx,5,4,10,1,2022:08:04 22:25:08,2022:08:04 22:25:14,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0084.JPG,PP-9,Reconyx,5,6,10,0,2022:08:04 22:25:30,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0102.JPG,PP-9,Reconyx,5,6,9,1,2022:08:04 22:25:57,2022:08:04 22:26:03,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0114.JPG,PP-9,Reconyx,10,1,11,1,2022:08:04 22:26:29,2022:08:04 22:26:31,2022:08:04 22:26:33,
/Volumes/Untitled/DCIM/100RECNX/RCNX0126.JPG,PP-9,Reconyx,10,2,11,1,2022:08:04 22:26:54,2022:08:04 22:26:56,2022:08:04 22:26:58,
/Volumes/Untitled/DCIM/100RECNX/RCNX0138.JPG,PP-9,Reconyx,10,3,9,1,2022:08:04 22:27:18,2022:08:04 22:27:25,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0150.JPG,PP-9,Reconyx,10,4,9,1,2022:08:04 22:27:41,2022:08:04 22:27:46,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0159.JPG,PP-9,Reconyx,10,5,9,1,2022:08:04 22:28:02,2022:08:04 22:28:08,2022:08:04 22:28:10,
/Volumes/Untitled/DCIM/100RECNX/RCNX0180.JPG,PP-9,Reconyx,12,1,10,1,2022:08:04 22:28:58,2022:08:04 22:29:02,2022:08:04 22:29:04,
/Volumes/Untitled/DCIM/100RECNX/RCNX0192.JPG,PP-9,Reconyx,12,2,9,1,2022:08:04 22:29:21,2022:08:04 22:29:24,2022:08:04 22:29:26,
/Volumes/Untitled/DCIM/100RECNX/RCNX0204.JPG,PP-9,Reconyx,12,3,10,1,2022:08:04 22:29:44,2022:08:04 22:29:48,2022:08:04 22:29:50,
/Volumes/Untitled/DCIM/100RECNX/RCNX0219.JPG,PP-9,Reconyx,12,4,10,1,2022:08:04 22:30:08,2022:08:04 22:30:10,2022:08:04 22:30:12,
/Volumes/Untitled/DCIM/100RECNX/RCNX0231.JPG,PP-9,Reconyx,12,5,10,1,2022:08:04 22:30:28,2022:08:04 22:30:35,2022:08:04 22:30:37,
/Volumes/Untitled/DCIM/100RECNX/RCNX0240.JPG,PP-9,Reconyx,12,6,10,1,2022:08:04 22:30:52,2022:08:04 22:30:57,2022:08:04 22:30:59,
/Volumes/Untitled/DCIM/100RECNX/RCNX0249.JPG,PP-9,Reconyx,15,1,10,1,2022:08:04 22:31:26,2022:08:04 22:31:32,2022:08:04 22:31:34,
/Volumes/Untitled/DCIM/100RECNX/RCNX0258.JPG,PP-9,Reconyx,15,2,10,1,2022:08:04 22:32:03,2022:08:04 22:32:09,2022:08:04 22:32:11,
/Volumes/Untitled/DCIM/100RECNX/RCNX0270.JPG,PP-9,Reconyx,15,3,11,1,2022:08:04 22:32:30,2022:08:04 22:32:33,2022:08:04 22:32:36,
/Volumes/Untitled/DCIM/100RECNX/RCNX0288.JPG,PP-9,Reconyx,15,4,10,1,2022:08:04 22:33:00,2022:08:04 22:33:03,2022:08:04 22:33:05,
/Volumes/Untitled/DCIM/100RECNX/RCNX0303.JPG,PP-9,Reconyx,15,5,9,1,2022:08:04 22:33:26,2022:08:04 22:33:30,2022:08:04 22:33:32,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,15,6,10,1,2022:08:04 22:33:50,2022:08:04 22:33:53,2022:08:04 22:33:55,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,1,10,0,2022:08:04 22:34:00,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,2,10,0,2022:08:04 22:34:15,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,3,10,0,2022:08:04 22:34:30,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,4,10,0,2022:08:04 22:34:45,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,5,10,0,2022:08:04 22:35:00,,,
/Volumes/Untitled/DCIM/100RECNX/RCNX0315.JPG,PP-9,Reconyx,20,6,10,0,2022:08:04 22:35:15,,,
