unique.id,x.distance,run.dist,direction,datetime,duration,detection,detection.1,datetime.1,detection.2,datetime.2,detection.3,datetime.3,detection.4,datetime.4
RM-8-7,3,20,,22-03-2022 08:56:00,14.56,1,8:56:06,22-03-2022 08:56:06,,,,,,
RM-8-7,3,20,2,22-03-2022 08:57:00,11.46,1,8:57:06,22-03-2022 08:57:06,,,,,,
RM-8-7,3,20,,22-03-2022 08:58:00,10.37,1,8:58:06,22-03-2022 08:58:06,,,,,,
RM-8-7,3,20,2,22-03-2022 08:59:00,9.94,1,8:59:05,22-03-2022 08:59:05,,,,,,
RM-8-7,3,20,,22-03-2022 09:00:00,10.47,1,9:00:04,22-03-2022 09:00:04,,,,,,
RM-8-7,3,20,2,22-03-2022 09:01:00,10.79,1,9:01:04,22-03-2022 09:01:04,,,,,,
RM-8-7,5,20,,22-03-2022 09:02:00,11.76,1,9:02:06,22-03-2022 09:02:06,,,,,,
RM-8-7,5,20,2,22-03-2022 09:03:00,11.46,1,9:03:06,22-03-2022 09:03:06,9:03:08,22-03-2022 09:03:08,,,,
RM-8-7,5,20,,22-03-2022 09:04:00,11.38,1,9:04:06,22-03-2022 09:04:06,,,,,,
RM-8-7,5,20,2,22-03-2022 09:05:00,10.73,1,9:05:06,22-03-2022 09:05:06,,,,,,
RM-8-7,5,20,,22-03-2022 09:06:00,10.07,1,9:06:04,22-03-2022 09:06:04,,,,,,
RM-8-7,5,20,2,22-03-2022 09:07:00,10.56,1,9:07:06,22-03-2022 09:07:06,,,,,,
RM-8-7,12,20,,22-03-2022 09:08:00,12.33,0,,,,,,,,
RM-8-7,12,20,2,22-03-2022 09:09:00,13.87,0,,,,,,,,
RM-8-7,12,20,,22-03-2022 09:10:00,11.88,0,,,,,,,,
RM-8-7,12,20,2,22-03-2022 09:11:00,11.41,0,,,,,,,,
RM-8-7,12,20,,22-03-2022 09:12:00,11.33,0,,,,,,,,
RM-8-7,12,20,2,22-03-2022 09:13:00,11.45,0,,,,,,,,
RM-8-7,10,20,,22-03-2022 09:14:00,14.61,1,9:14:06,22-03-2022 09:14:06,9:14:11,22-03-2022 09:14:11,,,,
RM-8-7,10,20,2,22-03-2022 09:15:00,13.57,1,9:15:09,22-03-2022 09:15:09,,,,,,
RM-8-7,10,20,,22-03-2022 09:16:00,14.21,1,9:16:07,22-03-2022 09:16:07,,,,,,
RM-8-7,10,20,2,22-03-2022 09:17:00,13.52,1,9:17:09,22-03-2022 09:17:09,,,,,,
RM-8-7,10,20,,22-03-2022 09:18:00,13.54,1,9:18:07,22-03-2022 09:18:07,,,,,,
RM-8-7,10,20,2,22-03-2022 09:19:00,13.52,1,9:19:09,22-03-2022 09:19:09,,,,,,
RM-8-7,15,20,,22-03-2022 09:20:00,15.81,0,,,,,,,,
RM-8-7,15,20,2,22-03-2022 09:21:00,14.77,0,,,,,,,,
RM-8-7,15,20,,22-03-2022 09:23:00,15.66,0,,,,,,,,
RM-8-7,15,20,2,22-03-2022 09:24:00,14.2,0,,,,,,,,
RM-8-7,15,20,,22-03-2022 09:25:00,16.61,0,,,,,,,,
RM-8-7,15,20,2,22-03-2022 09:26:00,13.37,0,,,,,,,,
RM-8-7,20,20,,22-03-2022 09:28:00,25.93,0,,,,,,,,
RM-8-7,20,20,2,22-03-2022 09:29:00,24.98,0,,,,,,,,
RM-8-7,20,20,,22-03-2022 09:30:00,21.55,0,,,,,,,,
RM-8-7,20,20,2,22-03-2022 09:31:00,22.74,0,,,,,,,,
RM-8-7,20,20,,22-03-2022 09:32:00,23.81,0,,,,,,,,
RM-8-7,20,20,2,22-03-2022 09:33:00,18.37,1,9:33:09,22-03-2022 09:33:09,9:33:12,22-03-2022 09:33:12,,,,
RM-8-5,3,20,,22-03-2022 10:35:00,11.63,1,10:35:06,22-03-2022 10:35:06,,,,,,
RM-8-5,3,20,2,22-03-2022 10:36:00,11.67,1,10:36:06,22-03-2022 10:36:06,,,,,,
RM-8-5,3,20,,22-03-2022 10:37:00,11.5,1,10:37:06,22-03-2022 10:37:06,,,,,,
RM-8-5,3,20,2,22-03-2022 10:38:00,11.35,1,10:38:06,22-03-2022 10:38:06,,,,,,
RM-8-5,3,20,,22-03-2022 10:39:00,10.83,1,10:39:05,22-03-2022 10:39:05,,,,,,
RM-8-5,3,20,2,22-03-2022 10:40:00,10.34,1,10:40:07,22-03-2022 10:40:07,,,,,,
RM-8-5,5,20,,22-03-2022 10:41:00,12.73,1,10:41:07,22-03-2022 10:41:07,10:41:09,22-03-2022 10:41:09,,,,
RM-8-5,5,20,2,22-03-2022 10:42:00,12.22,1,10:42:07,22-03-2022 10:42:07,,,,,,
RM-8-5,5,20,,22-03-2022 10:43:00,12.65,1,10:43:05,22-03-2022 10:43:05,10:43:09,22-03-2022 10:43:09,,,,
RM-8-5,5,20,2,22-03-2022 10:44:00,11.86,1,10:44:07,22-03-2022 10:44:07,10:44:08,22-03-2022 10:44:08,,,,
RM-8-5,5,20,,22-03-2022 10:45:00,10.59,1,10:45:06,22-03-2022 10:45:06,,,,,,
RM-8-5,5,20,2,22-03-2022 10:46:00,11.65,1,10:46:06,22-03-2022 10:46:06,,,,,,
RM-8-5,10,20,,22-03-2022 10:47:00,12.79,1,10:47:05,22-03-2022 10:47:05,10:47:06,22-03-2022 10:47:06,10:47:08,22-03-2022 10:47:08,,
RM-8-5,10,20,2,22-03-2022 10:48:00,11.96,1,10:48:06,22-03-2022 10:48:06,10:48:08,22-03-2022 10:48:08,,,,
RM-8-5,10,20,,22-03-2022 10:49:00,12.78,1,10:49:06,22-03-2022 10:49:06,10:49:08,22-03-2022 10:49:08,,,,
RM-8-5,10,20,2,22-03-2022 10:50:00,11.4,1,10:50:06,22-03-2022 10:50:06,10:50:08,22-03-2022 10:50:08,,,,
RM-8-5,10,20,,22-03-2022 10:51:00,12.05,1,10:51:06,22-03-2022 10:51:06,10:51:08,22-03-2022 10:51:08,,,,
RM-8-5,10,20,2,22-03-2022 10:52:00,11.87,1,10:52:06,22-03-2022 10:52:06,10:52:08,22-03-2022 10:52:08,,,,
RM-8-5,12,20,,22-03-2022 10:53:00,17.9,1,10:53:15,22-03-2022 10:53:15,,,,,,
RM-8-5,12,20,2,22-03-2022 10:54:00,12.58,1,10:54:07,22-03-2022 10:54:07,10:54:09,22-03-2022 10:54:09,,,,
RM-8-5,12,20,,22-03-2022 10:55:00,12,1,10:55:07,22-03-2022 10:55:07,,,,,,
RM-8-5,12,20,2,22-03-2022 10:56:00,12.82,1,10:56:07,22-03-2022 10:56:07,10:56:09,22-03-2022 10:56:09,,,,
RM-8-5,12,20,,22-03-2022 10:57:00,11.52,0,,,,,,,,
RM-8-5,12,20,2,22-03-2022 10:58:00,11.56,1,10:58:07,22-03-2022 10:58:07,10:58:09,22-03-2022 10:58:09,,,,
RM-8-5,15,20,,22-03-2022 10:59:00,11.29,0,,,,,,,,
RM-8-5,15,20,2,22-03-2022 11:00:00,11.67,0,,,,,,,,
RM-8-5,15,20,,22-03-2022 11:01:00,10.99,0,,,,,,,,
RM-8-5,15,20,2,22-03-2022 11:02:00,10.56,0,,,,,,,,
RM-8-5,15,20,,22-03-2022 11:03:00,9.39,0,,,,,,,,
RM-8-5,15,20,2,22-03-2022 11:04:00,8.9,0,,,,,,,,
RM-8-5,20,20,,22-03-2022 11:05:00,11.97,0,,,,,,,,
RM-8-5,20,20,2,22-03-2022 11:06:00,10.96,0,,,,,,,,
RM-8-5,20,20,,22-03-2022 11:07:00,10.61,0,,,,,,,,
RM-8-5,20,20,2,22-03-2022 11:08:00,9.46,0,,,,,,,,
RM-8-5,20,20,,22-03-2022 11:09:00,10.09,0,,,,,,,,
RM-8-5,20,20,2,22-03-2022 11:10:00,10.06,0,,,,,,,,
RM-8-9,3,20,,22-03-2022 12:15:00,11.47,1,12:15:06,22-03-2022 12:15:06,,,,,,
RM-8-9,3,20,2,22-03-2022 12:16:00,11.86,1,12:16:07,22-03-2022 12:16:07,,,,,,
RM-8-9,3,20,,22-03-2022 12:17:00,12.2,1,12:17:06,22-03-2022 12:17:06,,,,,,
RM-8-9,3,20,2,22-03-2022 12:18:00,11.43,1,12:18:06,22-03-2022 12:18:06,,,,,,
RM-8-9,3,20,,22-03-2022 12:19:00,11.39,1,12:19:06,22-03-2022 12:19:06,,,,,,
RM-8-9,3,20,2,22-03-2022 12:20:00,11.54,1,12:20:06,22-03-2022 12:20:06,,,,,,
RM-8-9,5,20,,22-03-2022 12:21:00,9.8,0,,,,,,,,
RM-8-9,5,20,2,22-03-2022 12:22:00,10.94,1,12:22:06,22-03-2022 12:22:06,,,,,,
RM-8-9,5,20,,22-03-2022 12:23:00,9.78,0,,,,,,,,
RM-8-9,5,20,2,22-03-2022 12:24:00,10.43,1,12:24:07,22-03-2022 12:24:07,,,,,,
RM-8-9,5,20,,22-03-2022 12:25:00,10.73,0,,,,,,,,
RM-8-9,5,20,2,22-03-2022 12:26:00,11.06,1,12:26:06,22-03-2022 12:26:06,,,,,,
RM-8-9,10,20,,22-03-2022 12:27:00,10.95,0,,,,,,,,
RM-8-9,10,20,2,22-03-2022 12:29:00,10.87,0,,,,,,,,
RM-8-9,10,20,,22-03-2022 12:30:00,10.48,0,,,,,,,,
RM-8-9,10,20,2,22-03-2022 12:31:00,10.88,0,,,,,,,,
RM-8-9,10,20,,22-03-2022 12:32:00,9.93,0,,,,,,,,
RM-8-9,10,20,2,22-03-2022 12:33:00,10.77,0,,,,,,,,
RM-8-9,12,20,,22-03-2022 12:34:00,10.51,0,,,,,,,,
RM-8-9,12,20,2,22-03-2022 12:35:00,10.17,0,,,,,,,,
RM-8-9,12,20,,22-03-2022 12:36:00,10.62,0,,,,,,,,
RM-8-9,12,20,2,22-03-2022 12:37:00,9.44,0,,,,,,,,
RM-8-9,12,20,,22-03-2022 12:38:00,10.22,0,,,,,,,,
RM-8-9,12,20,2,22-03-2022 12:39:00,12.69,0,,,,,,,,
RM-8-9,15,20,,22-03-2022 12:40:00,10.63,0,,,,,,,,
RM-8-9,15,20,2,22-03-2022 12:41:00,10.5,0,,,,,,,,
RM-8-9,15,20,,22-03-2022 12:42:00,11.13,0,,,,,,,,
RM-8-9,15,20,2,22-03-2022 12:43:00,10.56,0,,,,,,,,
RM-8-9,15,20,,22-03-2022 12:44:00,10.28,0,,,,,,,,
RM-8-9,15,20,2,22-03-2022 12:45:00,10.52,0,,,,,,,,
RM-8-9,20,20,,22-03-2022 12:46:00,11.17,0,,,,,,,,
RM-8-9,20,20,2,22-03-2022 12:47:00,11.72,0,,,,,,,,
RM-8-9,20,20,,22-03-2022 12:48:00,10.51,0,,,,,,,,
RM-8-9,20,20,2,22-03-2022 12:49:00,10.64,0,,,,,,,,
RM-8-9,20,20,,22-03-2022 12:50:00,10.36,0,,,,,,,,
RM-8-9,20,20,2,22-03-2022 12:51:00,10.62,0,,,,,,,,
RM-8-4,3,20,,22-03-2022 14:40:00,14.33,1,14:40:09,22-03-2022 14:40:09,,,,,,
RM-8-4,3,20,2,22-03-2022 14:41:00,13.52,1,14:41:06,22-03-2022 14:41:06,,,,,,
RM-8-4,3,20,,22-03-2022 14:42:00,13.27,1,14:42:08,22-03-2022 14:42:08,,,,,,
RM-8-4,3,20,2,22-03-2022 14:43:00,11.87,1,14:43:06,22-03-2022 14:43:06,,,,,,
RM-8-4,3,20,,22-03-2022 14:44:00,13.56,1,14:44:08,22-03-2022 14:44:08,,,,,,
RM-8-4,3,20,2,22-03-2022 14:45:00,11,1,14:45:06,22-03-2022 14:45:06,,,,,,
RM-8-4,5,20,,22-03-2022 14:46:00,11.03,1,14:46:06,22-03-2022 14:46:06,14:46:08,22-03-2022 14:46:08,,,,
RM-8-4,5,20,2,22-03-2022 14:47:00,10.3,1,14:47:06,22-03-2022 14:47:06,,,,,,
RM-8-4,5,20,,22-03-2022 14:48:00,11.25,1,14:48:06,22-03-2022 14:48:06,,,,,,
RM-8-4,5,20,2,22-03-2022 14:49:00,10.8,1,14:49:06,22-03-2022 14:49:06,,,,,,
RM-8-4,5,20,,22-03-2022 14:50:00,10.2,1,14:50:06,22-03-2022 14:50:06,14:50:08,22-03-2022 14:50:08,,,,
RM-8-4,5,20,2,22-03-2022 14:51:00,10.07,1,14:51:05,22-03-2022 14:51:05,,,,,,
RM-8-4,10,20,,22-03-2022 14:52:00,12.4,1,14:52:07,22-03-2022 14:52:07,14:52:11,22-03-2022 14:52:11,,,,
RM-8-4,10,20,2,22-03-2022 14:53:00,12.32,1,14:53:05,22-03-2022 14:53:05,14:53:09,22-03-2022 14:53:09,,,,
RM-8-4,10,20,,22-03-2022 14:54:00,11.95,1,14:54:07,22-03-2022 14:54:07,14:54:09,22-03-2022 14:54:09,,,,
RM-8-4,10,20,2,22-03-2022 14:55:00,11.66,1,14:55:07,22-03-2022 14:55:07,14:55:09,22-03-2022 14:55:09,,,,
RM-8-4,10,20,,22-03-2022 14:56:00,11.09,1,14:56:07,22-03-2022 14:56:07,14:56:09,22-03-2022 14:56:09,,,,
RM-8-4,10,20,2,22-03-2022 14:57:00,11.12,1,14:57:05,22-03-2022 14:57:05,14:57:07,22-03-2022 14:57:07,,,,
RM-8-4,12,20,,22-03-2022 14:58:00,11.44,0,,,,,,,,
RM-8-4,12,20,2,22-03-2022 14:59:00,11.4,0,,,,,,,,
RM-8-4,12,20,,22-03-2022 15:00:00,10.93,0,,,,,,,,
RM-8-4,12,20,2,22-03-2022 15:01:00,10.13,0,,,,,,,,
RM-8-4,12,20,,22-03-2022 15:02:00,10.43,1,15:02:07,22-03-2022 15:02:07,15:02:09,22-03-2022 15:02:09,,,,
RM-8-4,12,20,2,22-03-2022 15:03:00,10.75,1,15:03:07,22-03-2022 15:03:07,15:03:09,22-03-2022 15:03:09,,,,
RM-8-4,15,20,,22-03-2022 15:04:00,10.54,0,,,,,,,,
RM-8-4,15,20,2,22-03-2022 15:05:00,8.88,0,,,,,,,,
RM-8-4,15,20,,22-03-2022 15:06:00,10.84,0,,,,,,,,
RM-8-4,15,20,2,22-03-2022 15:07:00,10.09,0,,,,,,,,
RM-8-4,15,20,,22-03-2022 15:08:00,9.62,0,,,,,,,,
RM-8-4,15,20,2,22-03-2022 15:09:00,9.16,0,,,,,,,,
RM-8-4,20,20,,22-03-2022 15:10:00,10.8,0,,,,,,,,
RM-8-4,20,20,2,22-03-2022 15:11:00,10.18,0,,,,,,,,
RM-8-4,20,20,,22-03-2022 15:12:00,10.45,0,,,,,,,,
RM-8-4,20,20,2,22-03-2022 15:13:00,10.27,0,,,,,,,,
RM-8-4,20,20,,22-03-2022 15:14:00,10.57,0,,,,,,,,
RM-8-4,20,20,2,22-03-2022 15:15:00,8.92,0,,,,,,,,
RM-14-5,3,20,,25-03-2022 09:54:00,10.08,1,9:54:07,25-03-2022 09:54:07,,,,,,
RM-14-5,3,20,2,25-03-2022 09:55:00,9.5,0,,,,,,,,
RM-14-5,3,20,,25-03-2022 09:56:00,10.46,1,9:56:07,25-03-2022 09:56:07,,,,,,
RM-14-5,3,20,2,25-03-2022 09:57:00,10.17,1,9:57:07,25-03-2022 09:57:07,,,,,,
RM-14-5,3,20,,25-03-2022 09:58:00,10.62,1,9:58:07,25-03-2022 09:58:07,,,,,,
RM-14-5,3,20,2,25-03-2022 09:59:00,10.1,1,9:59:07,25-03-2022 09:59:07,,,,,,
RM-14-5,5,20,,25-03-2022 10:00:00,9.43,1,10:00:04,25-03-2022 10:00:04,,,,,,
RM-14-5,5,20,2,25-03-2022 10:01:00,8.9,1,10:01:06,25-03-2022 10:01:06,,,,,,
RM-14-5,5,20,,25-03-2022 10:02:00,9.94,1,10:02:06,25-03-2022 10:02:06,,,,,,
RM-14-5,5,20,2,25-03-2022 10:03:00,9.83,1,10:03:06,25-03-2022 10:03:06,,,,,,
RM-14-5,5,20,,25-03-2022 10:04:00,10.17,1,10:04:06,25-03-2022 10:04:06,,,,,,
RM-14-5,5,20,2,25-03-2022 10:05:00,9.81,1,10:05:06,25-03-2022 10:05:06,,,,,,
RM-14-5,10,20,,25-03-2022 10:06:00,11.62,0,,,,,,,,
RM-14-5,10,20,2,25-03-2022 10:07:00,10.78,0,,,,,,,,
RM-14-5,10,20,,25-03-2022 10:08:00,11.72,1,10:08:06,25-03-2022 10:08:06,,,,,,
RM-14-5,10,20,2,25-03-2022 10:09:00,10.84,0,,,,,,,,
RM-14-5,10,20,,25-03-2022 10:10:00,11.78,0,,,,,,,,
RM-14-5,10,20,2,25-03-2022 10:11:00,11.18,1,10:11:08,25-03-2022 10:11:08,,,,,,
RM-14-5,12,20,,25-03-2022 10:12:00,10.69,0,,,,,,,,
RM-14-5,12,20,2,25-03-2022 10:13:00,10.09,0,,,,,,,,
RM-14-5,12,20,,25-03-2022 10:14:00,10.52,0,,,,,,,,
RM-14-5,12,20,2,25-03-2022 10:15:00,10.97,0,,,,,,,,
RM-14-5,12,20,,25-03-2022 10:16:00,10.34,0,,,,,,,,
RM-14-5,12,20,2,25-03-2022 10:17:00,10.16,0,,,,,,,,
RM-14-5,15,20,,25-03-2022 10:18:00,11.62,0,,,,,,,,
RM-14-5,15,20,2,25-03-2022 10:19:00,11.66,0,,,,,,,,
RM-14-5,15,20,,25-03-2022 10:20:00,11.93,0,,,,,,,,
RM-14-5,15,20,2,25-03-2022 10:21:00,11.56,0,,,,,,,,
RM-14-5,15,20,,25-03-2022 10:22:00,11.23,0,,,,,,,,
RM-14-5,15,20,2,25-03-2022 10:23:00,11.66,0,,,,,,,,
RM-14-5,20,20,,25-03-2022 10:24:00,11.39,0,,,,,,,,
RM-14-5,20,20,2,25-03-2022 10:25:00,12.77,0,,,,,,,,
RM-14-5,20,20,,25-03-2022 10:26:00,11.72,0,,,,,,,,
RM-14-5,20,20,2,25-03-2022 10:27:00,11.45,0,,,,,,,,
RM-14-5,20,20,,25-03-2022 10:28:00,11.23,0,,,,,,,,
RM-14-5,20,20,2,25-03-2022 10:29:00,11.25,0,,,,,,,,
RM-14-9,3,20,,25-03-2022 10:39:00,12.98,0,,,,,,,,
RM-14-9,3,20,2,25-03-2022 10:40:00,11.16,1,10:40:09,25-03-2022 10:40:09,,,,,,
RM-14-9,3,20,,25-03-2022 10:41:00,11.44,1,10:41:09,25-03-2022 10:41:09,,,,,,
RM-14-9,3,20,2,25-03-2022 10:42:00,10.9,1,10:42:09,25-03-2022 10:42:09,,,,,,
RM-14-9,3,20,,25-03-2022 10:43:00,11.01,1,10:43:08,25-03-2022 10:43:08,,,,,,
RM-14-9,3,20,2,25-03-2022 10:44:00,10.56,1,10:44:09,25-03-2022 10:44:09,,,,,,
RM-14-9,5,20,,25-03-2022 10:45:00,11.59,1,10:45:08,25-03-2022 10:45:08,,,,,,
RM-14-9,5,20,2,25-03-2022 10:46:00,11.29,1,10:46:08,25-03-2022 10:46:08,,,,,,
RM-14-9,5,20,,25-03-2022 10:47:00,10.7,1,10:47:08,25-03-2022 10:47:08,,,,,,
RM-14-9,5,20,2,25-03-2022 10:48:00,10.39,1,10:48:08,25-03-2022 10:48:08,,,,,,
RM-14-9,5,20,,25-03-2022 10:49:00,10.9,1,10:49:08,25-03-2022 10:49:08,,,,,,
RM-14-9,5,20,2,25-03-2022 10:50:00,10.34,1,10:50:08,25-03-2022 10:50:08,,,,,,
RM-14-9,10,20,,25-03-2022 10:51:00,11.85,1,10:51:08,25-03-2022 10:51:08,,,,,,
