"","unique_id","detection.x","detection_datetime","seconds_in","x_distance","duration","velocity","grid_dist","tod","sensitivity","num_photos","seconds_since"
"1","S10132834","0","2022-02-09T17:14:21Z",0,30,10,2,-10,"1","2","2","0"
"2","S10132834","0","2022-02-09T17:14:22Z",1,30,10,2,-8,"1","2","2","0"
"3","S10132834","0","2022-02-09T17:14:23Z",2,30,10,2,-6,"1","2","2","0"
"4","S10132834","0","2022-02-09T17:14:24Z",3,30,10,2,-4,"1","2","2","0"
"5","S10132834","0","2022-02-09T17:14:25Z",4,30,10,2,-2,"1","2","2","0"
"6","S10132834","0","2022-02-09T17:14:26Z",5,30,10,2,0,"1","2","2","0"
"7","S10132834","0","2022-02-09T17:14:27Z",6,30,10,2,2,"1","2","2","0"
"8","S10132834","0","2022-02-09T17:14:28Z",7,30,10,2,4,"1","2","2","0"
"9","S10132834","0","2022-02-09T17:14:29Z",8,30,10,2,6,"1","2","2","0"
"10","S10132834","0","2022-02-09T17:14:30Z",9,30,10,2,8,"1","2","2","0"
"11","S10132834","0","2022-02-09T17:14:31Z",10,30,10,2,10,"1","2","2","0"
"12","S10132834","0","2022-02-09T17:14:36Z",0,30,9,2,-10,"1","2","2","0"
"13","S10132834","0","2022-02-09T17:14:37Z",1,30,9,2,-8,"1","2","2","0"
"14","S10132834","0","2022-02-09T17:14:38Z",2,30,9,2,-6,"1","2","2","0"
"15","S10132834","0","2022-02-09T17:14:39Z",3,30,9,2,-3,"1","2","2","0"
"16","S10132834","0","2022-02-09T17:14:40Z",4,30,9,2,-1,"1","2","2","0"
"17","S10132834","0","2022-02-09T17:14:41Z",5,30,9,2,1,"1","2","2","0"
"18","S10132834","0","2022-02-09T17:14:42Z",6,30,9,2,3,"1","2","2","0"
"19","S10132834","0","2022-02-09T17:14:43Z",7,30,9,2,6,"1","2","2","0"
"20","S10132834","0","2022-02-09T17:14:44Z",8,30,9,2,8,"1","2","2","0"
"21","S10132834","0","2022-02-09T17:14:45Z",9,30,9,2,10,"1","2","2","0"
"22","S10132834","0","2022-02-09T17:14:50Z",0,30,10,2,-10,"1","2","2","0"
"23","S10132834","0","2022-02-09T17:14:51Z",1,30,10,2,-8,"1","2","2","0"
"24","S10132834","0","2022-02-09T17:14:52Z",2,30,10,2,-6,"1","2","2","0"
"25","S10132834","0","2022-02-09T17:14:53Z",3,30,10,2,-4,"1","2","2","0"
"26","S10132834","0","2022-02-09T17:14:54Z",4,30,10,2,-2,"1","2","2","0"
"27","S10132834","0","2022-02-09T17:14:55Z",5,30,10,2,0,"1","2","2","0"
"28","S10132834","0","2022-02-09T17:14:56Z",6,30,10,2,2,"1","2","2","0"
"29","S10132834","0","2022-02-09T17:14:57Z",7,30,10,2,4,"1","2","2","0"
"30","S10132834","0","2022-02-09T17:14:58Z",8,30,10,2,6,"1","2","2","0"
"31","S10132834","0","2022-02-09T17:14:59Z",9,30,10,2,8,"1","2","2","0"
"32","S10132834","0","2022-02-09T17:15:00Z",10,30,10,2,10,"1","2","2","0"
"33","S10132834","0","2022-02-09T17:15:05Z",0,30,10,2,-10,"1","2","2","0"
"34","S10132834","0","2022-02-09T17:15:06Z",1,30,10,2,-8,"1","2","2","0"
"35","S10132834","0","2022-02-09T17:15:07Z",2,30,10,2,-6,"1","2","2","0"
"36","S10132834","0","2022-02-09T17:15:08Z",3,30,10,2,-4,"1","2","2","0"
"37","S10132834","0","2022-02-09T17:15:09Z",4,30,10,2,-2,"1","2","2","0"
"38","S10132834","0","2022-02-09T17:15:10Z",5,30,10,2,0,"1","2","2","0"
"39","S10132834","0","2022-02-09T17:15:11Z",6,30,10,2,2,"1","2","2","0"
