unique_id,detection.x,detection_datetime,seconds_in,x_distance.y,duration,velocity,grid_dist,brand
PP-1,1,2022-08-05T01:49:00Z,8,3,10,2,16,reconyx
PP-1,1,2022-08-05T01:49:20Z,3,5,11,1.8181818181818181,5.454545454545454,reconyx
PP-1,1,2022-08-05T01:49:42Z,3,5,9,2.2222222222222223,6.666666666666667,reconyx
PP-1,1,2022-08-05T01:49:59Z,6,5,11,1.8181818181818181,10.909090909090908,reconyx
PP-1,1,2022-08-05T01:50:21Z,5,5,11,1.8181818181818181,9.09090909090909,reconyx
PP-1,1,2022-08-05T01:50:43Z,5,5,10,2,10,reconyx
PP-1,1,2022-08-05T01:51:02Z,4,5,10,2,8,reconyx
PP-1,1,2022-08-05T01:52:04Z,3,10,11,1.8181818181818181,5.454545454545454,reconyx
PP-1,1,2022-08-05T01:52:06Z,5,10,11,1.8181818181818181,9.09090909090909,reconyx
PP-1,1,2022-08-05T01:52:22Z,7,10,10,2,14,reconyx
PP-1,1,2022-08-05T01:52:24Z,9,10,10,2,18,reconyx
PP-1,1,2022-08-05T01:52:49Z,6,10,9,2.2222222222222223,13.333333333333334,reconyx
PP-1,1,2022-08-05T01:52:51Z,8,10,9,2.2222222222222223,17.77777777777778,reconyx
PP-1,1,2022-08-05T01:53:22Z,3,10,10,2,6,reconyx
PP-1,1,2022-08-05T01:53:24Z,5,10,10,2,10,reconyx
PP-1,1,2022-08-05T01:53:52Z,4,12,11,1.8181818181818181,7.2727272727272725,reconyx
PP-1,1,2022-08-05T01:53:54Z,6,12,11,1.8181818181818181,10.909090909090908,reconyx
PP-1,1,2022-08-05T01:54:12Z,4,12,11,1.8181818181818181,7.2727272727272725,reconyx
PP-1,1,2022-08-05T01:54:14Z,6,12,11,1.8181818181818181,10.909090909090908,reconyx
PP-1,1,2022-08-05T01:54:35Z,5,12,9,2.2222222222222223,11.11111111111111,reconyx
PP-1,1,2022-08-05T01:54:37Z,7,12,9,2.2222222222222223,15.555555555555557,reconyx
PP-1,1,2022-08-05T01:55:04Z,6,12,13,1.5384615384615385,9.230769230769232,reconyx
PP-1,1,2022-08-05T01:55:08Z,10,12,13,1.5384615384615385,15.384615384615385,reconyx
