unique_id,detection_datetime,seconds_in,run_dist,x_distance,velocity,grid_dist,detection,brand,cover,canopy,shrub,temp
RM-8-7,2022-03-22T11:26:06Z,6,20,3,1,-2,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:27:06Z,6,20,3,2,1,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:28:06Z,6,20,3,2,2,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:29:05Z,5,20,3,2,0,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:30:04Z,4,20,3,2,-2,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:31:04Z,4,20,3,2,-3,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:32:06Z,6,20,5,2,0,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:33:06Z,6,20,5,2,1,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:33:08Z,8,20,5,2,5,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:34:06Z,6,20,5,2,1,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:35:06Z,6,20,5,2,1,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:36:04Z,4,20,5,2,-2,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:37:06Z,6,20,5,2,1,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:44:06Z,6,20,10,1,-2,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:44:11Z,11,20,10,1,5,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:45:09Z,9,20,10,1,3,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:46:07Z,7,20,10,1,0,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:47:09Z,9,20,10,1,3,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:48:07Z,7,20,10,1,0,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T11:49:09Z,9,20,10,1,3,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T12:03:09Z,9,20,20,1,0,1,cudde,86.11,95.5,38,4
RM-8-7,2022-03-22T12:03:12Z,12,20,20,1,3,1,cudde,86.11,95.5,38,4
RM-8-5,2022-03-22T13:05:06Z,6,20,3,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:06:06Z,6,20,3,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:07:06Z,6,20,3,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:08:06Z,6,20,3,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:09:05Z,5,20,3,2,-1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:10:07Z,7,20,3,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:11:07Z,7,20,5,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:11:09Z,9,20,5,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:12:07Z,7,20,5,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:13:05Z,5,20,5,2,-2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:13:09Z,9,20,5,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:14:07Z,7,20,5,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:14:08Z,8,20,5,2,3,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:15:06Z,6,20,5,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:16:06Z,6,20,5,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:17:05Z,5,20,10,2,-2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:17:06Z,6,20,10,2,-1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:17:08Z,8,20,10,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:18:06Z,6,20,10,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:18:08Z,8,20,10,2,3,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:19:06Z,6,20,10,2,-1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:19:08Z,8,20,10,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:20:06Z,6,20,10,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:20:08Z,8,20,10,2,5,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:21:06Z,6,20,10,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:21:08Z,8,20,10,2,3,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:22:06Z,6,20,10,2,0,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:22:08Z,8,20,10,2,3,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:23:15Z,15,20,12,1,7,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:24:07Z,7,20,12,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:24:09Z,9,20,12,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:25:07Z,7,20,12,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:26:07Z,7,20,12,2,1,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:26:09Z,9,20,12,2,4,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:28:07Z,7,20,12,2,2,1,cudde,65.28,89.5,93.5,4
RM-8-5,2022-03-22T13:28:09Z,9,20,12,2,5,1,cudde,65.28,89.5,93.5,4
RM-8-9,2022-03-22T14:45:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:46:07Z,7,20,3,2,2,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:47:06Z,6,20,3,2,0,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:48:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:49:06Z,6,20,3,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:50:06Z,6,20,3,2,0,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:52:06Z,6,20,5,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:54:07Z,7,20,5,2,4,1,reconyx,48.61,91.25,55.5,4
RM-8-9,2022-03-22T14:56:06Z,6,20,5,2,1,1,reconyx,48.61,91.25,55.5,4
RM-8-4,2022-03-22T17:10:09Z,9,20,3,1,3,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:11:06Z,6,20,3,1,-1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:12:08Z,8,20,3,2,2,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:13:06Z,6,20,3,2,0,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:14:08Z,8,20,3,1,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:15:06Z,6,20,3,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:16:06Z,6,20,5,2,1,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:16:08Z,8,20,5,2,5,1,cudde,83.33,0,37.5,4
RM-8-4,2022-03-22T17:17:06Z,6,20,5,2,2,1,cudde,83.33,0,37.5,4
